Level ID,Length of Time,Level Time At Start ,Level Time At The End,Universal Time At Start,Universal Time At the End,Wave Period,Basic Enemies In a Wave (MIN),Basic Enemies In a Wave (MAX),Attack Patterns Introductions,Attack Pattern Symmetry Odds,Base Energy (MIN),Base Energy (MAX),Base Fire Power (MIN),Base Fire Power (MAX),Odds of 2 Simultaneous Waves,Odds of 3 Simultaneous Waves,Odds of 4 Simultaneous Waves,Odds of 5 Simultaneous Waves,Extractable Count,Crate Count,Lighthouse (Satellite) Count,Hellicopter Attacks (# in PACK),Hellicopter Energy Multiplier,Hellicopter Fire Power Multiplier,ENEMY-1 Attacks  (# in PACK),ENEMY-1 Energy Multiplier,ENEMY-1 FirePower Multiplier,ENEMY-2 Attacks  (# in PACK),ENEMY-2 Energy Multiplier,ENEMY-2 FirePower Multiplier,ENEMY-3 Attacks  (# in PACK),ENEMY-3 Energy Multiplier,ENEMY-3 FirePower Multiplier,ENEMY-4 Attacks  (# in PACK),ENEMY-4 Energy Multiplier,ENEMY-4 FirePower Multiplier
9,120,720,840,4170,4290,5,7,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9,120,840,960,4290,4410,5,7,7,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
10,120,0,120,4410,4530,5,7,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
10,120,120,240,4530,4650,5,7,7,,,,,,,,,,,2,2,1,4,,,,,,,,,,,,,,
10,120,240,360,4650,4770,5,7,8,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
10,120,360,480,4770,4890,5,7,8,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
10,120,480,600,4890,5010,5,7,8,,50,,,400,500,,,,,1,1,,4,,,,,,,,,,,,,,
11,120,0,120,5010,5130,5,7,8,,,,,,,,,,,2,,,0,,,,,,,,,,,,,,
11,120,120,240,5130,5250,5,7,8,,,,500,,,,,,,3,1,,,,,,,,,,,,,,,,
11,120,240,360,5250,5370,5,7,8,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,
11,120,360,480,5370,5490,5,7,8,,,,,,,,,,,2,1,1,3,,,,,,,,,,,,,,
11,120,480,600,5490,5610,5,7,8,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
11,120,600,720,5610,5730,5,7,8,,,,,,,,,,,5,3,,4,,,,,,,,,,,,,,
11,120,720,840,5730,5850,5,7,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
11,120,840,960,5850,5970,5,7,8,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
12,180,0,180,5970,6150,5,7,8,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
12,180,180,360,6150,6330,5,7,9,,,,,,,,,,,6,,,3,,,,,,,,,,,,,,
12,180,360,540,6330,6510,5,8,9,,30,,,,,,,,,7,,,,,,,,,,,,,,,,,
12,180,540,720,6510,6690,5,8,9,,,,,,,,,,,6,1,,3,,,,,,,,,,,,,,
12,180,720,900,6690,6870,5,8,10,,,,,,,,,,,5,,,6,,,,,,,,,,,,,,
12,180,900,1080,6870,7050,5,8,10,,,,,450,,,,,,4,1,1,3,,,,,,,,,,,,,,
12,180,1080,1260,7050,7230,5,8,10,,,,,500,,,,,,1,,,6,,,,,,,,,,,,,,
